N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
2,1.0,0.5,0.86,1.0,0.1,10000,100,-0.2762554891957324,-0.5179484517491225,0.24169296255339012,0.008989582657866962,0.03719422594226821
2,1.0,0.5,1.42,1.0,0.1,10000,100,-0.3211432761488001,-0.4851545344478095,0.16401125829900937,0.010074791620785496,0.0614274393433292
2,1.0,0.5,0.02,1.0,0.1,10000,100,-0.465806080004676,-0.5123948810542256,0.046588801049549586,0.0006240092554331176,0.013393975405579801
2,1.0,0.5,1.1400000000000001,1.0,0.1,10000,100,-0.3022888699534383,-0.49734284259889,0.19505397264545166,0.009375459735635342,0.04806597686004096
2,1.0,0.5,0.3,1.0,0.1,10000,100,-0.26673911416471335,-0.5160398492849912,0.24930073512027773,0.005051920158062702,0.020264361256798345
3,1.0,0.5,0.22,1.0,0.1,10000,100,-0.19612858352382273,-0.5162618265358286,0.32013324301200596,0.00563957386374008,0.017616333157655165
2,1.0,0.5,0.58,1.0,0.1,10000,100,-0.26043663324097116,-0.5155581198064292,0.25512148656545824,0.007883933675661786,0.030902664380794725
2,1.0,0.5,1.44,1.0,0.1,10000,100,-0.31010120919836304,-0.5104651024114656,0.20036389321310255,0.010828966724453798,0.054046497853464805
2,1.0,0.5,0.88,1.0,0.1,10000,100,-0.26770935279666735,-0.5153907360987428,0.24768138330207534,0.009627206291435259,0.03886931735880123
2,1.0,0.5,0.04,1.0,0.1,10000,100,-0.44118792411953656,-0.5184341367994799,0.07724621267994332,0.0011910336341123709,0.015418667049052854
2,1.0,0.5,0.32,1.0,0.1,10000,100,-0.26577330142726074,-0.5125543409854184,0.24678103955815772,0.00617578686639322,0.025025370172078402
2,1.0,0.5,1.16,1.0,0.1,10000,100,-0.30348759198543096,-0.5276612869324618,0.22417369494703088,0.009309600676235234,0.04152851510269732
3,1.0,0.5,0.24,1.0,0.1,10000,100,-0.18615646921862206,-0.5006922270808042,0.3145357578621821,0.006469422991693849,0.020568163809624822
2,1.0,0.5,0.6,1.0,0.1,10000,100,-0.24352952739185593,-0.49155396275094404,0.24802443535908814,0.007911541433376112,0.031898233824912595
2,1.0,0.5,0.9,1.0,0.1,10000,100,-0.2694955330125937,-0.508166385498968,0.2386708524863743,0.00954786854375654,0.04000433418781888
