N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
2,100.0,0.5,0.02,1.0,0.1,10000,100,-0.47397414218027756,-0.5199982717054564,0.04602412952517881,0.0006187495016309074,0.013444023993814004
2,100.0,0.5,0.04,1.0,0.1,10000,100,-0.42551215767514694,-0.5022429232333077,0.07673076555816072,0.0011632428677469209,0.015160058149885147
2,100.0,0.5,0.06,1.0,0.1,10000,100,-0.3974820762862623,-0.5036669107914347,0.10618483450517235,0.0016533670996581279,0.015570651942557683
2,100.0,0.5,0.08,1.0,0.1,10000,100,-0.37426141442685146,-0.502465917805935,0.12820450337908348,0.0021385028714174595,0.016680403691391354
2,100.0,0.5,0.1,1.0,0.1,10000,100,-0.35512658819752424,-0.49934274059939704,0.14421615240187274,0.0025577105036114463,0.017735256841994576
2,100.0,0.5,0.12,1.0,0.1,10000,100,-0.3198800217817789,-0.48125050440220724,0.16137048262042838,0.0025890449884694794,0.01604410513265531
2,100.0,0.5,0.14,1.0,0.1,10000,100,-0.3356804765205434,-0.5172606164901389,0.18158013996959546,0.003391449870683146,0.018677427340077084
2,100.0,0.5,0.16,1.0,0.1,10000,100,-0.3266846813443003,-0.5220833605891241,0.19539867924482382,0.003225242489411157,0.01650595849406999
2,100.0,0.5,0.18,1.0,0.1,10000,100,-0.29865633824695137,-0.5033864877349765,0.20473014948802506,0.0039830985800153405,0.019455359115284176
2,100.0,0.5,0.2,1.0,0.1,10000,100,-0.30882452360189766,-0.5259313345315783,0.21710681092968043,0.004160215509834748,0.019162068163684726
2,100.0,0.5,0.22,1.0,0.1,10000,100,-0.28605404128443995,-0.5142703432011859,0.22821630191674586,0.0040449469219324885,0.017724180472471682
2,100.0,0.5,0.24,1.0,0.1,10000,100,-0.28592587179518925,-0.509958653610637,0.22403278181544783,0.0047421271745532465,0.021167112848956556
2,100.0,0.5,0.26,1.0,0.1,10000,100,-0.27525693360081516,-0.5026722434791661,0.2274153098783508,0.004895604020193355,0.021527152339972697
2,100.0,0.5,0.28,1.0,0.1,10000,100,-0.2657511783896618,-0.5045768118265722,0.23882563343691043,0.004326925172539883,0.018117507364145267
2,100.0,0.5,0.3,1.0,0.1,10000,100,-0.2617948195143623,-0.50500206945866,0.24320724994429774,0.005299836910474335,0.02179144294295572
2,100.0,0.5,0.32,1.0,0.1,10000,100,-0.2662836595594068,-0.4995342775687396,0.23325061800933294,0.0049825772552140055,0.02136147504232825
2,100.0,0.5,0.34,1.0,0.1,10000,100,-0.2528167600932541,-0.48824698018291407,0.23543022008965991,0.005575891078528233,0.023683837514167645
2,100.0,0.5,0.36,1.0,0.1,10000,100,-0.2538617638388366,-0.4971342448501358,0.24327248101129922,0.006671575239737801,0.027424290704824633
2,100.0,0.5,0.38,1.0,0.1,10000,100,-0.2706352080051954,-0.5335734523588908,0.26293824435369534,0.006822598001800066,0.025947530069541903
2,100.0,0.5,0.4,1.0,0.1,10000,100,-0.24809846410469408,-0.508974647446512,0.26087618334181795,0.006573370655877285,0.02519728160567422
2,100.0,0.5,0.42,1.0,0.1,10000,100,-0.25217321239241747,-0.5117814415885814,0.259608229196164,0.006639756000961544,0.025576061365699013
2,100.0,0.5,0.44,1.0,0.1,10000,100,-0.25723757331632013,-0.5189098583457611,0.26167228502944107,0.006630601338324102,0.025339333653841428
2,100.0,0.5,0.46,1.0,0.1,10000,100,-0.2590143518150402,-0.5223445050308061,0.26333015321576597,0.006936457379065897,0.02634129549676881
2,100.0,0.5,0.48,1.0,0.1,10000,100,-0.24651216277757504,-0.5023680821031381,0.25585591932556306,0.006598880366689312,0.025791392218260885
2,100.0,0.5,0.5,1.0,0.1,10000,100,-0.24559668605281573,-0.5025118425490778,0.256915156496262,0.007239827905427275,0.02817983961772458
2,100.0,0.5,0.52,1.0,0.1,10000,100,-0.24884739814756596,-0.5017898760424854,0.2529424778949194,0.008158503040370385,0.03225438094964696
2,100.0,0.5,0.54,1.0,0.1,10000,100,-0.25700615575999336,-0.5198522435057157,0.2628460877457223,0.007294661656673834,0.027752597420170468
2,100.0,0.5,0.56,1.0,0.1,10000,100,-0.2467865448006004,-0.500857062459884,0.2540705176592837,0.008372497912022587,0.03295344138767947
2,100.0,0.5,0.58,1.0,0.1,10000,100,-0.25731100943392327,-0.5124161320225229,0.25510512258859946,0.007238689307645816,0.028375319296584406
2,100.0,0.5,0.6,1.0,0.1,10000,100,-0.25062994714869635,-0.5043760198182485,0.2537460726695521,0.007870660760955429,0.031017862377737036
2,100.0,0.5,0.62,1.0,0.1,10000,100,-0.23792644695049422,-0.4862105520975854,0.24828410514709115,0.008124083250369143,0.032720915604147055
2,100.0,0.5,0.64,1.0,0.1,10000,100,-0.2611329724337283,-0.5115285909587116,0.2503956185249833,0.00783048667469216,0.031272458842608986
2,100.0,0.5,0.66,1.0,0.1,10000,100,-0.25754057861660345,-0.5102658303666476,0.2527252517500441,0.006963531153245836,0.027553760872827463
2,100.0,0.5,0.68,1.0,0.1,10000,100,-0.2579679392404757,-0.4979767037545435,0.24000876451406777,0.008283199649941852,0.0345120715350224
